idiom_key,text_content,variation_type,deleted_word,cosine_distance_to_eng
ah la vache,ils avaient des brosses impeccables - ah la vache,original,,0.7972242832183838
ah la vache,ah la vache il l'a pas volé,original,,0.6974716484546661
ah la vache,ah la vache,original,,0.6797817349433899
ah la vache,salut ah la vache ils sont costauds ceux-là,original,,0.7096369862556458
ah la vache,ah la vache,original,,0.5934821665287018
ah la vache,ah la vache,original,,0.18902617692947388
ah la vache,ah la vache c'est le saumon,original,,0.2762247920036316
ah la vache,ah la vache on a un fax de l'ij,original,,0.5834343433380127
ah la vache,ah la vache,original,,0.5855222940444946
ah la vache,- d'accord d'accord ah la vache,original,,0.49101048707962036
ah la vache,ils avaient des brosses impeccables - la vache,variation,ah,0.8145813345909119
ah la vache,la vache il l'a pas volé,variation,ah,0.7279695272445679
ah la vache,la vache,variation,ah,0.7458026111125946
ah la vache,salut la vache ils sont costauds ceux-là,variation,ah,0.7071384489536285
ah la vache,la vache,variation,ah,0.6646436154842377
ah la vache,la vache,variation,ah,0.20549190044403076
ah la vache,la vache c'est le saumon,variation,ah,0.31259655952453613
ah la vache,la vache on a un fax de l'ij,variation,ah,0.5883745551109314
ah la vache,la vache,variation,ah,0.6613777577877045
ah la vache,- d'accord d'accord la vache,variation,ah,0.518539696931839
ah la vache,ils avaient des brosses impeccables - ah vache,variation,la,0.8041625916957855
ah la vache,ah vache il l'a pas volé,variation,la,0.6911534667015076
ah la vache,ah vache,variation,la,0.4989457130432129
ah la vache,salut ah vache ils sont costauds ceux-là,variation,la,0.6857761740684509
ah la vache,ah vache,variation,la,0.5075645446777344
ah la vache,ah vache,variation,la,0.2654828429222107
ah la vache,ah vache c'est le saumon,variation,la,0.2553286552429199
ah la vache,ah vache on a un fax de l'ij,variation,la,0.44019532203674316
ah la vache,ah vache,variation,la,0.4703837037086487
ah la vache,- d'accord d'accord ah vache,variation,la,0.43342697620391846
ah la vache,ils avaient des brosses impeccables - ah la,variation,vache,0.6953611373901367
ah la vache,ah la il l'a pas volé,variation,vache,0.6371118128299713
ah la vache,ah la,variation,vache,0.5543009638786316
ah la vache,salut ah la ils sont costauds ceux-là,variation,vache,0.6163192689418793
ah la vache,ah la,variation,vache,0.5689619481563568
ah la vache,ah la,variation,vache,0.5642713606357574
ah la vache,ah la c'est le saumon,variation,vache,0.20188158750534058
ah la vache,ah la on a un fax de l'ij,variation,vache,0.3935350179672241
